FirstName,LastName,Gender,MaritalStatus,Ethnicity,Employer,Address,City,State,Zip,Office,Region,Phone1,Phone2,Email,DOB,SSN,HireDate,GrossMonthlyIncome,IncomeFromOtherSources,CreditScore,CoBorrowerFirstName,CoBorrowerLastName,CoDOB,COSSN,CoCurrentEmployer,CoLengthOfEmployment,CoGrossMonthlyIncome,LoanDate,LoanType,LoanAmount,DownPayment,CurrentBalance,MultipleProperties,CurrentPropertyTaxes,CurrentHomeOwnerInsurance,CoCreditScore,Channel,LoanStatus,LoanOfficer,RealtorsName,ReltorCompany,RealtorLocation,RealtorState,LoanID
Jenelle,Regusters,Female,Married,Caucasian,Haavisto  Brian F Esq,3211 E Northeast Loop,Tampa,FL,33619,Tampa,Florida,813-932-8715,813-357-7296,jregusters@regusters.com,6/22/1998,517-83-8715,6/22/2019,20897,3332,665,Nicholas,Wong,11/7/1998,584-11-7296,Oh My Goodknits Inc,3,14550.58,4/5/2022,New Home,1253820,188073,0,N,2008.3,1898.14,650,Email/Fax,Rejected,Felicien Kabuga,Callan Edick,Keller Williams Realty,Tampa,FL,EF158
Paz,Sahagun,Male,Married,Black,White Sign Div Ctrl Equip Co,919 Wall Blvd,Meridian,TX,39307,Dallas,Texas,601-927-8287,601-249-4511,paz_sahagun@cox.net,7/27/1967,781-85-8287,7/27/2019,18411,3522,710,Amelia,Bell,8/5/1996,721-97-4511,Water Office,5,7480.75,1/22/2020,Reverse,1104660,276165,0,N,1769.38,1672.33,661,Email/Fax,Pending,Frank Miller,Kristal Saenz,EXIT Realty of Lubbock,Dallas,TX,EF55
Leota,Dilliard,Male,Married,Caucasian,Commercial Press,7 W Jackson Blvd,Houston,TX,95111,Dallas,Texas,408-752-3500,408-813-1105,leota@hotmail.com,3/16/1991,568-64-3500,3/16/2012,3840,2718,738,Peyton,Harris,4/5/1988,277-86-1105,Asendorf  J Alan Esq,14,5375.42,11/2/2021,New Home,230400,46080,138240,Y,369.04,348.8,587,Email/Fax,Approved,Frank Miller,Jeremy Fain,Greenwood King Properties,Dallas,TX,EF56
Bernardine,Rodefer,Female,Married,Black,Sat Poly Inc,2 W Grand Ave,Memphis,TX,38112,Dallas,Texas,901-901-4726,901-739-5892,bernardine_rodefer@yahoo.com,8/20/1983,927-43-4726,8/20/2004,4099,3744,660,Jayden,Williams,12/26/1971,905-15-5892,Circuit Solution Inc,30,8722.33,1/18/2020,New Home,245940,49188,147564,Y,393.93,372.33,580,Email/Fax,Rejected,Frank Miller,Brittany Dodson,RE/MAX Signature Properties,Dallas,TX,EF57
Kaitlyn,Ogg,Female,Single,Caucasian,Garrison  Paul E Esq,2 S Biscayne Blvd,Haverhill,MA,21230,Boston,Massachusetts,410-665-4903,410-773-3862,kaitlyn.ogg@gmail.com,5/6/1979,185-03-4903,5/6/2018,4084,4320,712,Eloise,Alexander,1/21/1997,436-59-3862,Denbrook  Myron,5,17350.83,7/10/2017,Construction,245040,49008,73512,Y,392.49,370.96,777,Email/Fax,Pending,Jossef Goldberg,Jason Saphire,www.EntryOnly.com,Boston,MA,EF20
Glendora,Sarbacher,Female,Married,Asian,Defur Voran Hanley Radcliff,2140 Diamond Blvd,Austin,TX,94928,Dallas,Texas,707-653-8214,707-881-3154,gsarbacher@gmail.com,6/23/1955,528-92-8214,6/23/2014,5390,5849,767,Dylan,Ali,4/16/2000,451-75-3154,Courtyard By Marriott,2,11116.67,7/16/2021,Reverse,323400,45276,194040,Y,518,489.59,619,Email/Fax,Approved,James Kramer,Travis Hitt,Rogers Healy and Associates,Dallas,TX,EF59
Roxane,Campain,Female,Married,Caucasian,Rapid Trading Intl,1048 Main St,Fairbanks,MA,99708,Boston,Massachusetts,907-231-4722,907-335-6568,roxane@hotmail.com,1/2/1977,835-93-4722,1/2/2018,15854,4439,600,Hudson,Hill,11/4/1998,887-68-6568,Central Die Casting Mfg Co Inc,3,8007.67,11/19/2018,Construction,951240,57074,285372,N,1523.64,1440.07,781,Email/Fax,Approved,Jossef Goldberg,Melissa Dailey,Coldwell Banker Realty,Boston,MA,EF23
Melodie,Knipp,Female,Married,Caucasian,Fleetwood Building Block Inc,326 E Main St #6496,Houston,TX,91362,Dallas,Texas,805-690-1682,805-810-8964,mknipp@gmail.com,7/18/1997,312-58-1682,7/18/2018,5931,5283,653,Penelope,Silva,11/3/1995,653-18-8964,Nercon Engineering & Mfg Inc,6,7884.83,4/17/2022,Construction,355860,49820,106758,Y,570,538.73,603,Email/Fax,Approved,James Kramer,Jason Gutierrez,Berkshire Hathaway HomeServices Don Johnson  REALTORS,Dallas,TX,EF43
Justine,Ferrario,Female,Married,Latino,Newhart Foods Inc,48 Stratford Ave,Austin,TX,91768,Dallas,Texas,909-993-3242,909-631-5703,jferrario@hotmail.com,4/27/1958,558-06-3242,4/27/2014,6322,2518,704,John,Delgado,2/11/1996,401-35-5703,Century 21 Krall Real Estate,6,7671.5,3/29/2021,Reverse,379320,45518,227592,N,607.57,574.25,683,Email/Fax,Pending,Jose Lugo,Haley Howard,RE/MAX Trinity II,Dallas,TX,EF62
Lewis,Hagele,Male,Married,Latino,Ninas Indian Grs & Videos,627 Walford Ave,Dallas,TX,75227,Dallas,Texas,214-339-1809,214-225-5850,lhagele@cox.net,10/12/1985,537-85-1809,10/12/2006,6649,3371,588,Peyton,Garza,8/15/1983,433-85-5850,Hubbard  Bruce Esq,18,3727.92,7/13/2018,New Home,398940,47873,239364,N,639,603.95,740,Email/Fax,Rejected,Jose Lugo,Amanda Cunningham,Coldwell Banker Apex  Realtors,Dallas,TX,EF63
Kristel,Ehmann,Female,Single,Latino,Mccoy  Joy Reynolds Esq,92899 Kalakaua Ave,El Paso,TX,79925,Dallas,Texas,915-452-1290,915-300-6100,kristel.ehmann@aol.com,4/15/1987,362-31-1290,4/15/2008,7203,2952,716,Madison,Nelson,7/16/2000,641-62-6100,H H H Enterprises Inc,1,13479.92,9/28/2018,New Home,432180,43218,259308,N,692.24,654.27,676,Email/Fax,Pending,Jose Lugo,AC Rooker,RE/MAX Vision,Dallas,TX,EF64
Lorrie,Nestle,Female,Married,Asian,Ballard Spahr Andrews,39 S 7th St,Tullahoma,TX,37388,Dallas,Texas,931-875-6644,931-303-6041,lnestle@hotmail.com,2/26/1989,721-00-6644,2/26/2010,7564,2830,632,Jameson,Nelson,3/8/1995,457-73-6041,Shimotani  Grace T,7,8047.17,5/20/2022,New Home,453840,45384,272304,N,726.94,687.06,621,Email/Fax,Approved,Jose Lugo,Brian Curry,RE/MAX Dallas Suburbs,Dallas,TX,EF65
Aliza,Baltimore,Female,Married,Asian,Andrews  J Robert Esq,1128 Delaware St,Houston,TX,95132,Dallas,Texas,408-504-3552,408-425-1994,aliza@aol.com,12/12/1988,626-07-3552,12/12/2009,9520,6022,759,Grace,Carter,3/17/2000,348-50-1994,American Speedy Printing Ctrs,2,12923.33,11/15/2021,Refinance,571200,34272,342720,N,914.92,864.73,586,Email/Fax,Rejected,James Kramer,Yolanda Rivas,RE/MAX Real Estate Services II,Dallas,TX,EF66
Micaela,Rhymes,Female,Married,Asian,H Lee Leonard Attorney At Law,20932 Hedley St,Dallas,TX,94520,Dallas,Texas,925-647-3298,925-522-7798,micaela_rhymes@gmail.com,4/18/1985,189-81-3298,4/18/2006,11207,4990,746,Eloise,Pham,10/20/1990,806-75-7798,Prohab Rehabilitation Servs,11,10303.33,6/6/2018,Refinance,672420,40345,403452,N,1077.05,1017.97,787,Email/Fax,Rejected,James Kramer,Neil Spiller,RE/MAX On the Water - Bolivar,Dallas,TX,EF67
Glen,Slayton,Male,Married,Black,Toledo Iv Care,2759 Livingston Ave,Memphis,TX,38118,Dallas,Texas,901-640-9178,901-869-4314,glenna_slayton@cox.net,11/10/1983,130-13-9178,11/10/2004,11860,5887,594,Vivian,Chu,1/17/2000,373-60-4314,Carmichael  Jeffery L Esq,2,6010.92,1/14/2020,Refinance,711600,42696,426960,N,1139.8,1077.28,700,Email/Fax,Rejected,James Kramer,Jollete Ryon,RE/MAX Lifestyle Property,Dallas,TX,EF68
Lashon,Vizarro,Female,Married,Caucasian,Sentry Signs,433 Westminster Blvd #590,Austin,TX,95661,Dallas,Texas,916-741-7884,916-289-4526,lashon@aol.com,4/28/1985,739-99-7884,4/28/2006,12563,3624,784,Emily,Gupta,2/23/1985,942-14-4526,Garrison Ind,17,5308.75,7/28/2021,Refinance,753780,45227,452268,N,1207.36,1141.14,677,Email/Fax,Approved,Jose Lugo,Andrea Peters,Keller Williams Realty,Dallas,TX,EF69
Lauran,Burnard,Female,Married,Asian,Professionals Unlimited,66697 Park Pl #3224,Riverton,TX,82501,Dallas,Texas,307-342-7795,307-453-7589,lburnard@burnard.com,3/14/1983,161-07-7795,3/14/2004,12917,5667,621,Hazel,Alvarez,4/19/1993,394-49-7589,Alinabal Inc,9,3774.58,6/26/2021,Refinance,775020,46501,465012,N,1241.38,1173.29,716,Email/Fax,Pending,James Kramer,Colleen Sherlock,Greenwood King Properties,Dallas,TX,EF70
Veronika,Inouye,Female,Married,Caucasian,C 4 Network Inc,6 Greenleaf Ave,Houston,TX,95111,Dallas,Texas,408-540-1785,408-813-4592,vinouye@aol.com,5/28/1983,512-70-1785,5/28/2004,13324,5105,775,David,Herrera,10/9/2000,305-21-4592,Super 8 Motel,1,8524.83,11/7/2022,Refinance,799440,47966,479664,N,1280.5,1210.26,596,Email/Fax,Pending,Jose Lugo,Leslie Brown,Phyllis Browning Company,Dallas,TX,EF71
Lorean,Martabano,Female,Married,Asian,Hiram  Hogg P Esq,85092 Southern Blvd,San Antonio,TX,78204,Dallas,Texas,210-856-4979,210-634-2447,lorean.martabano@hotmail.com,9/2/1981,549-77-4979,9/2/2018,18455,6174,749,Charlotte,Baker,11/17/1995,448-81-2447,Tipiak Inc,6,5077.5,9/19/2022,Construction,1107300,276825,332190,N,1773.61,1676.33,776,Email/Fax,Pending,James Kramer,Betsy Russell,Keller Williams Realty,Dallas,TX,EF47
Tarra,Nachor,Female,Married,Latino,Circuit Solution Inc,39 Moccasin Dr,Houston,TX,94104,Dallas,Texas,415-411-1775,415-284-2730,tarra.nachor@cox.net,4/13/1974,179-62-1775,4/13/1995,4238,3802,738,Madelyn,Chan,5/21/1982,881-80-2730,Pagano  Philip G Esq,20,8870.33,10/21/2021,Reverse,254280,50856,27971,N,407.29,384.95,786,Email/Fax,Rejected,Jose Lugo,Kasey Dalby,Keller Williams Realty,Dallas,TX,EF73
Earl,Mai,Male,Married,Caucasian,Little Sheet Metal Co,75684 S Withlapopka Dr #32,Dallas,TX,75227,Dallas,Texas,214-289-1973,214-785-6750,earleen_mai@cox.net,4/1/1971,890-61-1973,4/1/1992,4484,3032,700,Maverick,Li,3/10/1997,361-56-6750,Glenridge Manor Mobile Home Pk,5,4916.08,7/21/2018,Reverse,269040,40356,29594,N,430.93,407.3,809,Email/Fax,Rejected,James Kramer,Andy Mazzolini,Keller Williams Realty,Dallas,TX,EF74
Rozella,Ostrosky,Female,Married,Caucasian,Parkway Company,17 Morena Blvd,Dallas,TX,93012,Dallas,Texas,805-832-6163,805-609-1531,rozella.ostrosky@ostrosky.com,4/8/1971,419-65-6163,4/8/1992,9740,5591,792,Ian,Cortez,4/30/1987,389-44-1531,Redeker  Debbie,15,5779.33,1/16/2018,Reverse,584400,35064,64284,N,936.06,884.72,804,Email/Fax,Approved,James Kramer,Susan Shakespeare,WestMark  Realtors,Dallas,TX,EF75
Fletcher,Flosi,Male,Married,Asian,Post Box Services Plus,394 Manchester Blvd,Houston,TX,61109,Houston,Texas,815-828-2147,815-426-5657,fletcher.flosi@yahoo.com,2/19/1978,137-06-2147,2/19/1999,15984,5908,672,Julia,Doan,9/7/1996,231-53-5657,H A C Farm Lines Co Optv Assoc,5,3893.92,7/12/2021,Home Equity,959040,57542,479520,Y,1536.14,1451.88,616,Email/Fax,Rejected,Eugene Kogan,Peri Duncan,Berkshire Hathaway HomeServices PenFed Realty Texas,Houston,TX,EF76
Ciara,Ventura,Female,Married,Caucasian,Johnson  Robert M Esq,53 W Carey St,Port Jervis,NY,12771,New York,New York,845-823-8877,845-694-7919,cventura@yahoo.com,5/14/1997,627-06-8877,5/14/2018,5082,3538,712,Jaxson,Liang,3/3/1998,398-12-7919,Di Cristina J & Son,4,5592.83,4/2/2021,Construction,304920,45738,91476,Y,488.4,461.62,647,Email/Fax,Pending,Sidney Higa,Daniel Axtmann,Berkshire Hathaway HomeServices Hudson Valley Properties,New York,NY,EF82
Martina,Maybury,Male,Married,Asian,Eldridge  Kristin K Esq,4 Warehouse Point Rd #7,Houston,TX,60638,Houston,Texas,773-775-4522,773-539-1058,marti.maybury@yahoo.com,11/16/1981,557-02-4522,11/16/2002,8000,2418,748,Genesis,Zhu,7/20/1999,337-16-1058,Switchcraft Inc,2,15413.33,3/9/2018,Refinance,480000,38400,288000,N,768.84,726.67,662,Email/Fax,Rejected,Eugene Kogan,Norma Turkington,RE/MAX Elite,Houston,TX,EF78
Kristeen,Turinetti,Female,Married,Caucasian,Jeanerette Middle School,70099 E North Ave,Channelview,TX,76013,Houston,Texas,817-213-8851,817-947-9480,kristeen@gmail.com,11/3/1992,584-61-8851,11/3/2013,15542,3372,681,Nicholas,Song,5/23/1978,230-56-9480,Wells  D Fred Esq,24,5733.92,5/6/2022,Refinance,932520,55951,559512,N,1493.66,1411.73,744,Email/Fax,Pending,Eugene Kogan,Shirl Thornton,RE/MAX Horseshoe Bay Resort Sales Co.,Houston,TX,EF79
Joni,Breland,Male,Married,Asian,Carriage House Cllsn Rpr Inc,35 E Main St #43,Houston,TX,60007,Houston,Texas,847-519-5906,847-740-5304,joni_breland@cox.net,11/16/1974,349-25-5906,11/16/1995,10495,6027,616,William,Walker,2/24/1998,719-89-5304,Silver Bros Inc,4,7991.58,10/2/2018,Reverse,629700,37782,69267,N,1008.62,953.3,702,Email/Fax,Pending,Eugene Kogan,Dane Gates,Berkshire Hathaway HomeServices Premier Properties,Houston,TX,EF80
Tasia,Andreason,Female,Divorced,Caucasian,Campbell  Robert A,4 Cowesett Ave,Kearny,NY,7032,New York,New York,201-920-9002,201-969-7063,tasia_andreason@yahoo.com,1/18/1949,752-24-9002,1/18/2017,4483,3947,642,Eli,Richardson,4/19/1994,849-78-7063,Tyee Productions Inc,8,4063.5,8/9/2019,Reverse,268980,40347,80694,Y,430.84,407.21,667,Email/Fax,Approved,Kim Abercrombie,Geraldine Andolina,CENTURY 21 Winklhofer,New York,NY,EF81
Gary,Nunlee,Male,Single,Caucasian,Irving Foot Center,2 W Mount Royal Ave,Fortville,MA,46040,Boston,Massachusetts,317-542-6023,317-887-8486,gary_nunlee@nunlee.org,12/18/1981,209-40-6023,12/18/2016,7455,3537,701,Christopher,Chung,12/18/2000,262-81-8486,Desco Equipment Corp,1,7972.5,12/30/2018,Construction,447300,44730,134190,N,716.46,677.16,607,Email/Fax,Approved,Jossef Goldberg,Kim Covino,Compass,Boston,MA,EF22
Wynell,Dorshorst,Male,Married,Asian,Haehnel  Craig W Esq,94290 S Buchanan St,Austin,TX,94044,Dallas,Texas,650-473-1262,650-749-9879,wynell_dorshorst@dorshorst.org,2/14/1980,618-35-1262,2/14/2017,7997,5545,658,Caroline,Perez,1/14/1997,638-17-9879,Quality Inn Northwest,5,6709.67,12/2/2020,Construction,479820,38386,143946,N,768.55,726.39,725,Email/Fax,Approved,James Kramer,Stacy Mathews,Berkshire Hathaway HomeServices Premier Properties,Dallas,TX,EF44
Cecilia,Colaizzo,Female,Married,Black,Switchcraft Inc,4 Nw 12th St #3849,Madison,NY,53717,New York,New York,608-382-4541,608-302-3387,cecilia_colaizzo@colaizzo.com,5/9/1951,575-63-4541,5/9/2018,6110,4556,677,William,Cao,2/12/1996,258-96-3387,Fbs Business Finance,6,6469.08,12/12/2019,Reverse,366600,51324,109980,Y,587.2,554.99,639,Email/Fax,Rejected,Bruce Mutiso,Chintan Trivedi,RE/MAX In the City,New York,NY,EF84
Vincenza,Zepp,Male,Married,Asian,Kbor 1600 Am,395 S 6th St #2,Dallas,TX,92020,Dallas,Texas,619-603-5125,619-935-6661,vzepp@gmail.com,3/10/1996,474-48-5125,3/10/2017,16413,4488,795,Anthony,Marquez,8/15/1988,804-10-6661,Tri State Refueler Co,13,20090.25,9/20/2018,Construction,984780,59087,295434,N,1577.37,1490.85,767,Email/Fax,Pending,Jose Lugo,Tara Stark,Keller Williams Realty,Dallas,TX,EF46
An,Fritz,Female,Single,Asian,Linguistic Systems Inc,506 S Hacienda Dr,Atlantic City,NY,8401,New York,New York,609-228-5265,609-854-7156,an_fritz@hotmail.com,12/4/1975,768-03-5265,12/4/1996,8280,2214,711,Angel,Lin,12/24/1999,555-78-7156,Wheatley Trucking Company,2,7693.42,6/16/2017,Home Equity,496800,74520,248400,Y,795.75,752.1,681,Email/Fax,Rejected,Sidney Higa,Michele Rios,Berkshire Hathaway HomeServices Hudson Valley Properties,New York,NY,EF86
Gregoria,Pawlowicz,Female,Single,Caucasian,Oh My Goodknits Inc,455 N Main Ave,Garden City,NY,11530,New York,New York,516-212-1915,516-376-4230,gpawlowicz@yahoo.com,8/2/1978,587-32-1915,8/2/1999,11500,4830,632,Daniel,Shah,6/4/1989,887-20-4230,Olsen Payne & Company,12,6035.42,1/7/2019,Home Equity,690000,41400,345000,Y,1105.2,1044.58,701,Email/Fax,Approved,Sidney Higa,Heather Shea-Canaley,ERA Team VP Real Estate,New York,NY,EF87
Ty,Smith,Male,Married,Asian,Bresler Eitel Framg Gllry Ltd,4646 Kaahumanu St,Hackensack,NY,7601,New York,New York,201-672-1553,201-995-3149,tsmith@aol.com,7/12/1996,378-41-1553,7/12/2017,5916,4613,688,Mateo,Harris,8/5/1996,710-93-3149,Comfort Inn,5,9992.17,2/24/2019,Construction,354960,49694,106488,Y,568.56,537.37,805,Email/Fax,Rejected,Kim Abercrombie,Nancy Kennedy,Houlihan Lawrence,New York,NY,EF83
Virgie,Kiel,Female,Single,Asian,Cullen  Terrence P Esq,76598 Rd  I 95 #1,Albany,NY,80216,New York,New York,303-776-7548,303-845-5408,vkiel@hotmail.com,2/14/1968,874-14-7548,2/14/2021,4028,2687,772,Kennedy,Romero,12/27/1997,483-85-5408,Egnor  W Dan Esq,4,7279.92,8/14/2018,Reverse,241680,48336,0,N,387.11,365.88,621,Email/Fax,Pending,Bruce Mutiso,Molly Elliott,Howard Hanna Real Syracuse,New York,NY,EF89
Michael,Lawler,Male,Married,Caucasian,Nischwitz  Jeffrey L Esq,4671 Alemany Blvd,Jersey City,NY,7304,New York,New York,201-588-7810,201-858-9960,merlyn_lawler@hotmail.com,1/5/1978,866-52-7810,1/5/2017,15867,5181,807,Lyla,Yoon,12/13/1991,529-90-9960,Wye Technologies Inc,10,15964.25,7/20/2019,Construction,952020,57121,285606,N,1524.89,1441.25,621,Email/Fax,Rejected,Sidney Higa,Tina Dillon,Howard Hanna Real Buffalo,New York,NY,EF85
Nan,Koppinger,Male,Married,Caucasian,Shimotani  Grace T,88827 Frankford Ave,Greensboro,NC,27401,Raleigh,North Carolina,336-370-5333,336-564-1492,nan@koppinger.com,12/27/1995,783-95-5333,12/27/2016,3473,4867,684,Allison,Daniels,4/14/1999,816-17-1492,International Eyelets Inc,3,8627,2/20/2019,Construction,208380,41676,62514,Y,333.77,315.46,727,Email/Fax,Pending,Carroll Adam,Dexter Hubbard,RE/MAX Mountain Properties,Raleigh,NC,EF135
Livio,Diestel,Male,Single,Latino,Dimmock  Thomas J Esq,1482 College Ave,Fayetteville,NC,28301,Raleigh,North Carolina,910-922-3672,910-200-7912,lonna_diestel@gmail.com,5/3/1996,415-81-3672,5/3/2017,7571,3439,645,Autumn,Leung,11/15/2000,905-49-7912,Burton & Davis,1,17559,12/9/2018,Construction,454260,45426,136278,N,727.61,687.7,721,Email/Fax,Pending,Adan Duale,Bala Sure,RE/MAX Executive,Raleigh,NC,EF137
Selma,Husser,Female,Married,Latino,Armon Communications,9 State Highway 57 #22,Jersey City,NY,7306,New York,New York,201-991-8369,201-772-7699,selma.husser@cox.net,2/10/1969,480-12-8369,2/10/2021,6657,2297,596,Theodore,Xi,10/5/1988,329-45-7699,Chilton Malting Co,13,10240.83,7/28/2019,Reverse,399420,47930,0,N,639.77,604.68,682,Email/Fax,Approved,Kim Abercrombie,Cindy B Rosato,RE/MAX Realty Group,New York,NY,EF93
Christiane,Eschberger,Female,Married,Latino,Casco Services Inc,96541 W Central Blvd,Charlotte,NC,85034,Raleigh,North Carolina,602-390-4944,602-330-6894,christiane.eschberger@yahoo.com,1/4/1979,412-83-4944,1/4/2017,14875,2124,706,Bella,Holmes,6/26/1996,838-83-6894,In Travel Agency,5,13439.08,3/1/2021,Construction,892500,53550,267750,N,1429.56,1351.15,770,Email/Fax,Pending,Adan Duale,Gay Poindexter,RE/MAX Premier Realty,Raleigh,NC,EF138
Freeman,Gochal,Male,Married,Caucasian,Kellermann  William T Esq,383 Gunderman Rd #197,Coatesville,NC,19320,Atlanta,North Carolina,610-476-3501,610-752-2683,freeman_gochal@aol.com,12/2/1995,627-65-3501,12/2/2016,9482,5695,657,Lucy,Figueroa,1/10/1995,389-77-2683,Mosocco  Ronald A,7,12480.08,5/5/2018,Construction,568920,85338,170676,N,911.26,861.28,687,Email/Fax,Approved,Julia Jones,Kendall Butler,F.L.I. Properties,Atlanta,GA,EF1
Maryann,Royster,Female,Single,Caucasian,Franklin  Peter L Esq,74 S Westgate St,Jacinto City,NY,12204,New York,New York,518-966-7987,518-448-8982,mroyster@royster.com,1/25/1953,445-52-7987,1/25/2019,9461,2220,622,Samantha,Aguilar,4/24/1989,517-51-8982,Irving Foot Center,13,8553,3/27/2022,Reverse,567660,85149,0,N,909.25,859.37,714,Email/Fax,Approved,Sidney Higa,Kevin Kelly,Howard Hanna Real Buffalo,New York,NY,EF96
Graham,Galam,Male,Married,Latino,Wheatley Trucking Company,2500 Pringle Rd Se #508,Hatfield,NC,19440,Atlanta,North Carolina,215-888-3304,215-351-8523,britt@galam.org,5/2/1995,475-32-3304,5/2/2016,4232,6023,640,Alexander,Gonzales,6/4/1997,902-58-8523,Insty Prints,4,10694.08,3/20/2019,Refinance,253920,50784,152352,Y,406.72,384.41,611,Email/Fax,Pending,Felix Odhiamgo,Jamie McCleskey,Coldwell Banker Realty,Atlanta,GA,EF7
Yolando,Luczki,Female,Married,Asian,Dal Tile Corporation,422 E 21st St,Syracuse,NY,13214,New York,New York,315-304-4759,315-640-6357,yolando@cox.net,2/22/1990,759-48-4759,2/22/2011,3611,4380,740,Colton,Garcia,11/17/1972,305-01-6357,Freehold Fence Co,29,6680.83,3/24/2022,Refinance,216660,43332,129996,Y,347.03,328,758,Email/Fax,Approved,Frank Miller,Carol Klein,HUNT Real Estate ERA,New York,NY,EF98
Nobuko,Halsey,Male,Married,Asian,Goeman Wood Products Inc,8139 I Hwy 10 #92,New Bedford,MA,2745,Boston,Massachusetts,508-855-9887,508-897-7916,nobuko.halsey@yahoo.com,1/15/1975,379-66-9887,1/15/2016,7499,5248,731,Grace,Sun,4/17/2000,348-54-7916,Ray Carolyne Realty,2,15572.5,5/22/2020,Refinance,449940,44994,269964,N,720.69,681.16,631,Email/Fax,Rejected,Jossef Goldberg,Elena Price,Coldwell Banker Realty,Boston,MA,EF35
Kate,Keneipp,Female,Married,Asian,Davis  Maxon R Esq,33 N Michigan Ave,Green Bay,NY,54301,New York,New York,920-353-6377,920-355-1610,kate_keneipp@yahoo.com,3/28/1981,540-63-6377,3/28/2002,4206,5541,688,Cora,Zheng,1/3/1997,955-59-1610,Affiliated With Travelodge,5,13925,2/12/2019,Refinance,252360,50472,151416,Y,404.22,382.05,740,Email/Fax,Pending,Bruce Mutiso,Jeff Serouya,Berkshire Hathaway HomeServices Hudson Valley Properties,New York,NY,EF100
Lindsey,Dilello,Female,Married,Black,Biltmore Investors Bank,52777 Leaders Heights Rd,Austin,TX,91761,Dallas,Texas,909-639-9887,909-589-1693,lindsey.dilello@hotmail.com,5/7/1995,527-82-9887,5/7/2016,5933,3661,656,Piper,Ramos,4/2/1975,274-49-1693,Goulds Pumps Inc Slurry Pump,27,13088.08,10/18/2020,Refinance,355980,49837,213588,N,570.19,538.91,750,Email/Fax,Rejected,Jose Lugo,Marita Corkill,RE/MAX Space Center III,Dallas,TX,EF61
Bok,Isaacs,Male,Single,Caucasian,Nelson Hawaiian Ltd,6 Gilson St,Bronx,NY,10468,New York,New York,718-809-3762,718-478-8568,bok.isaacs@aol.com,10/23/1988,153-26-3762,10/23/2009,4535,5913,719,Mila,Roberts,1/26/1996,755-53-8568,Mutual Fish Co,6,7388.58,11/16/2017,Refinance,272100,40815,163260,Y,435.83,411.93,632,Email/Fax,Rejected,Sidney Higa,Nancy Jarvis,Daniel Gale Sotheby's International Realty,New York,NY,EF102
Estrella,Samu,Female,Single,Asian,Marking Devices Pubg Co,64 Lakeview Ave,Beloit,NY,53511,New York,New York,608-976-7199,608-942-8836,estrella@aol.com,11/14/1958,765-92-7199,11/14/2013,4670,3338,624,Wesley,Dominguez,4/27/1997,634-78-8836,Stanton  James D Esq,5,9624.17,8/15/2022,Reverse,280200,42030,168120,Y,448.81,424.19,742,Email/Fax,Rejected,Bruce Mutiso,G. Harlan Furbush,Keller Williams Realty,New York,NY,EF103
Alease,Buemi,Female,Single,Black,Porto Cayo At Hawks Cay,4 Webbs Chapel Rd,Albany,NY,80303,New York,New York,303-301-4946,303-521-9860,alease@buemi.com,8/21/1987,511-62-4946,8/21/2008,4922,4763,797,Hazel,Cortez,4/18/2000,482-97-9860,Nischwitz  Jeffrey L Esq,2,4212.33,10/15/2017,Refinance,295320,44298,177192,Y,473.03,447.08,680,Email/Fax,Rejected,Sidney Higa,Eric Stein,RE/MAX Distinguished Homes & Properties,New York,NY,EF104
Delisa,Crupi,Female,Single,Black,Wood & Whitacre Contractors,47565 W Grand Ave,Newark,NY,7105,New York,New York,973-354-2040,973-847-9611,delisa.crupi@crupi.com,6/10/1984,563-03-2040,6/10/2005,5615,2646,753,Jackson,Navarro,9/25/1999,547-98-9611,Merlin Electric Co,2,13595.25,8/11/2020,Refinance,336900,47166,202140,Y,539.63,510.03,647,Email/Fax,Rejected,Kim Abercrombie,Michelle Keegan,Douglas Elliman,New York,NY,EF105
Daren,Weirather,Male,Married,Asian,Panasystems,9 N College Ave #3,Milwaukee,NY,53216,New York,New York,414-959-2540,414-838-3151,dweirather@aol.com,5/22/1995,602-21-2540,5/22/2016,3718,3000,609,Quinn,Trinh,5/9/1989,251-58-3151,Osborne  Michelle M Esq,13,5645.25,3/30/2020,Refinance,223080,44616,133848,Y,357.32,337.72,704,Email/Fax,Rejected,Frank Miller,Kellie Jo Maher,Coldwell Banker Prime Properties,New York,NY,EF99
Eladia,Saulter,Female,Single,Asian,Tyee Productions Inc,3958 S Dupont Hwy #7,Ramsey,NY,7446,New York,New York,201-474-4924,201-365-8698,eladia@saulter.com,9/10/1989,354-21-4924,9/10/2010,6069,2175,638,Xavier,Perez,2/26/1977,850-28-8698,Forging Specialties,25,5925.92,5/13/2021,Refinance,364140,50980,218484,N,583.26,551.27,666,Email/Fax,Pending,Kim Abercrombie,Sandra Calalesina,CENTURY 21 Turner Brokers,New York,NY,EF107
France,Buzick,Male,Single,Caucasian,In Travel Agency,64 Newman Springs Rd E,Brooklyn,NY,11219,New York,New York,718-478-8504,718-853-3740,france.buzick@yahoo.com,5/23/1981,949-54-8504,5/23/2002,6363,2229,585,Jameson,Juarez,10/9/1973,877-94-3740,Neeley  Gregory W Esq,28,8185.83,12/2/2022,Refinance,381780,45814,229068,N,611.51,577.97,639,Email/Fax,Pending,Kim Abercrombie,Lynn Dates,Keller Williams Realty,New York,NY,EF108
